element	ion_stage	wavelength_vacuum_nm	wavelength_kind	intensity	gA_s-1	Ei_eV	Ek_eV	g_i	g_k	tp_ref	line_ref	quantitative_ready
Th	1	484.956828338	ritz_air	190		2.2267431830	4.7833459800	9	9		L5951	0
Th	1	484.971699282	ritz_air	6000		0.4572521355	3.0137765410	5	5		L18702	0
Th	1	485.049470910	ritz_air	910		1.2911884280	3.8473029300	9	11		L18702	0
Th	1	485.077795422	ritz_air	17		1.3051251700	3.8610904140	7	7		L3552	0
Th	1	485.121651055	ritz_air	680		0.6151672932	3.1709014740	9	9		L18702	0
Th	1	485.303341246	ritz_air	57		2.1698692680	4.7246466200	11	11		L5951	0
Th	1	485.389245032	ritz_air	29		2.6214502260	5.1757754400	11	9		L5951	0
Th	1	485.422416831	ritz_air	1300		1.7955230000	4.3496736600	13	13		L18702	0
Th	1	485.448647788	ritz_air	17		2.8364588180	5.3904714600	11	11		L12239	0
Th	1	485.496479476	ritz_air	67		2.7478783540	5.3016393700	9	11		L5951	0
Th	1	485.536435074	ritz_air	8		1.5019899800	4.0555408500	5	5		L12239	0
Th	1	485.669066255	ritz_air	30		2.2402786110	4.7931321300	7	5		L5951	0
Th	1	485.675093854	ritz_air	32		2.3470572450	4.8998790800	7	9		L5951	0
Th	1	485.688279351	ritz_air	26		2.2127555990	4.7655081300	5	5		L5951	0
Th	1	485.889774800	ritz_air	240bl		1.7934589390	4.3451528600	5	3		L5951	0
Th	1	485.930566621	ritz_air	85		1.5929451530	4.1444248700	7	5		L5951	0
Th	1	485.959183212	ritz_air	33		3.0078287120	5.5591582000	9	9		L12239	0
Th	1	486.153039636	ritz_air	29		1.9209143920	4.4712265000	9	9		L5951	0
Th	1	486.161724940	ritz_air	54		1.3051251700	3.8553917200	7	5		L5951	0
Th	1	486.198148602	ritz_air	15		2.4197971740	4.9698726700	5	7		L12239	0
Th	1	486.209073500	ritz_air	35		2.2852378900	4.8352560800	7	7		L5951	0
Th	1	486.257453334	ritz_air	1100		1.0056363970	3.5554008800	9	7		L18702	0
Th	1	486.298406198	ritz_air	140		1.9668714740	4.5164212300	5	7		L5951	0
Th	1	486.307519616	ritz_air	820		0.9664909590	3.5159929410	9	7		L18702	0
Th	1	486.378764516	ritz_air	48		2.1355413190	4.6846698500	5	5		L5951	0
Th	1	486.431554520	ritz_air	36		2.0107115110	4.5595634000	5	7		L3552	0
Th	1	486.449949400	ritz_air	1500		1.2911884280	3.8399439320	9	9		L18702	0
Th	1	486.571405620	ritz_air	28		1.3937969360	3.9419162250	7	9		L5951	0
Th	1	486.578949622	ritz_air	96		2.1571260900	4.7052058700	7	9		L5951	0
Th	1	486.605763735	ritz_air	67		1.2911884280	3.8391278000	9	7		L5951	0
Th	1	486.610882093	ritz_air	35		1.7934589390	4.3413715100	5	5		L5951	0
Th	1	486.614988182	ritz_air	18		0.6897416420	3.2376327180	3	5		L3552	0
Th	1	486.633994224	ritz_air	18		2.4180816130	4.9658731800	7	9		L3552	0
Th	1	486.655854023	ritz_air	26		2.6951747210	5.2428518400	5	7		L5951	0
Th	1	486.676623533	ritz_air	190		1.6486715920	4.1962399900	9	11		L5951	0
Th	1	486.683653398	ritz_air	9200		0.9664909590	3.5140225530	9	11		L18702	0
Th	1	486.733133525	ritz_air	330		1.7660301470	4.3133027700	3	5		L5951	0
Th	1	486.739353175	ritz_air	71		2.4732857860	5.0205258600	9	7		L5951	0
Th	1	486.795534079	ritz_air	57		2.1168825430	4.6638286400	3	3		L5951	0
Th	1	486.883393388	ritz_air	52		2.5196398240	5.0661263200	11	9		L5951	0
Th	1	486.887070364	ritz_air	27		2.0267262500	4.5731935100	9	9		L5951	0
Th	1	486.988753340	ritz_air	290		2.4732857860	5.0192213500	9	11		L5951	0
Th	1	486.998989056	ritz_air	86		2.2402786110	4.7861606600	7	5		L5951	0
Th	1	487.024119723	ritz_air	1400		1.3937969360	3.9395476160	7	7		L18702	0
Th	1	487.161380139	ritz_air	20		2.2791800320	4.8242134300	1	3		L12239	0
Th	1	487.264976624	ritz_air	710		0.0000000000	2.5444923060	5	5		L18702	0
Th	1	487.291677708	ritz_air	27		2.6241377150	5.1684906000	7	7		L3552	0
Th	1	487.304048990	ritz_air	68		2.7155353660	5.2598236600	9	9		L5951	0
Th	1	487.339181311	ritz_air	420		2.0809318270	4.6250367000	9	9		L5951	0
Th	1	487.358960559	ritz_air	230		1.3882549450	3.9322565660	11	13		L5951	0
Th	1	487.363254698	ritz_air	150		1.4726643640	4.0166435700	3	5		L5951	0
Th	1	487.427784819	ritz_air	4400		0.4792576672	3.0229000750	3	5		L18702	0
Th	1	487.430013410	ritz_air	540		0.7888365657	3.3324673450	5	7		L18702	0
Th	1	487.521347642	ritz_air	18		2.3321286770	4.8752829200	9	7		L3552	0
Th	1	487.572576234	ritz_air	2500		1.0910919079	3.6339789490	9	9		L18702	0
Th	1	487.703951091	ritz_air	36		0.9026202420	3.4448222940	5	5		L3552	0
Th	1	487.742755387	ritz_air	36		1.6227747630	4.1647745600	7	7		L5951	0
Th	1	487.750239373	ritz_air	27		1.6486715920	4.1906323800	9	9		L3552	0
Th	1	487.760460084	ritz_air	250		1.7289977590	4.2709052900	7	9		L5951	0
Th	1	487.785695780	ritz_air	860		1.7614332090	4.3032092300	9	7		L5951	0
Th	1	487.821749346	ritz_air	35		1.7289977590	4.2705859200	7	5		L5951	0
Th	1	487.862660201	ritz_air	97		1.9668714740	4.5082465100	5	3		L5951	0
Th	1	487.886198446	ritz_air	54		2.4779689210	5.0192213500	13	11		L5951	0
Th	1	487.937175972	ritz_air	2200		0.4572521355	2.9982390600	5	5		L18702	0
Th	1	488.009558178	ritz_air	7200		0.3171586159	2.8577686610	1	3		L18702	0
Th	1	488.086518598	ritz_air	46		2.7478783540	5.2880878000	9	7		L5951	0
Th	1	488.137490123	ritz_air	40		1.7289977590	4.2689419500	7	7		L5951	0
Th	1	488.149441294	ritz_air	31		2.4286473910	4.9685294000	11	11		L5951	0
Th	1	488.155275842	ritz_air	69		2.0273820500	4.5672337000	1	3		L5951	0
Th	1	488.222112577	ritz_air	170		1.3369408730	3.8764448200	5	7		L18702	0
Th	1	488.227731067	ritz_air	220		1.4633771100	4.0028518400	5	7		L5951	0
Th	1	488.243097145	ritz_air	27		2.1587167030	4.6981115100	7	9		L3552	0
Th	1	488.256772773	ritz_air	910		0.6151672932	3.1544909700	9	7		L18702	0
Th	1	488.295938166	ritz_air	120		1.4383444490	3.9774644500	3	3		L5951	0
Th	1	488.321667993	ritz_air	350		1.0056363970	3.5446226120	9	7		L5951	0
Th	1	488.425789621	ritz_air	33		2.3321286770	4.8705736400	9	9		L5951	0
Th	1	488.459858661	ritz_air	85		2.7140305370	5.2522984500	7	9		L5951	0
Th	1	488.485636502	ritz_air	31		2.6132338080	5.1513677700	11	13		L5951	0
Th	1	488.502873075	ritz_air	18		1.9365072870	4.4745517000	7	9		L3552	0
Th	1	488.585742065	ritz_air	38		2.3605541700	4.8981681000	5	7		L5951	0
Th	1	488.591559608	ritz_air	130		2.3838859230	4.9214696400	13	11		L5951	0
Th	1	488.660485898	ritz_air	27		2.4286473910	4.9658731800	11	9		L3552	0
Th	1	488.665352190	ritz_air	18		2.1355413190	4.6727418400	5	7		L3552	0
Th	1	488.693288603	ritz_air	51		1.3369408730	3.8739963500	5	5		L5951	0
Th	1	488.696601482	ritz_air	26		2.7156765220	5.2527148000	15	13		L5951	0
Th	1	488.712383670	ritz_air	49		2.8535150990	5.3904714600	11	11		L5951	0
Th	1	488.718859388	ritz_air	380		2.0267262500	4.5636489800	9	7		L3552	0
Th	1	488.720436807	ritz_air	33		1.7955230000	4.3324375480	13	13		L12239	0
Th	1	488.737928448	ritz_air	27		2.2402786110	4.7771023600	7	7		L3552	0
Th	1	488.749617550	ritz_air	140		2.7155353660	5.2522984500	9	9		L5951	0
Th	1	488.823107051	ritz_air	130		1.9800395300	4.5164212300	7	7		L5951	0
Th	1	488.846072145	ritz_air	110		2.2267431830	4.7630057300	9	7		L5951	0
Th	1	488.918638402	ritz_air	9		2.4217109980	4.9575971100	9	7		L3552	0
Th	1	489.007954103	ritz_air	37		2.2998331450	4.8352560800	5	7		L3552	0
Th	1	489.017706691	ritz_air	37		1.5929451530	4.1283175300	7	5		L3552	0
Th	1	489.085569700	ritz_air	530		0.9301651190	3.4651857020	7	9		L5951	0
Th	1	489.182383392	ritz_air	390		0.4792576672	3.0137765410	3	5		L5951	0
Th	1	489.282043839	ritz_air	33		1.3051251700	3.8391278000	7	7		L5951	0
Th	1	489.302672313	ritz_air	170		1.5019899800	4.0358857800	5	7		L5951	0
Th	1	489.318935629	ritz_air	6		2.4864747310	5.0202863100	5	7		L12239	0
Th	1	489.340752419	ritz_air	71		1.0220763970	3.5557750090	5	5		L5951	0
Th	1	489.364547734	ritz_air	59		2.0267262500	4.5603016600	9	11		L5951	0
Th	1	489.378405411	ritz_air	9		2.6349869300	5.1684906000	5	7		L3552	0
Th	1	489.412544471	ritz_air	520		0.9664909590	3.4998178990	9	9		L18702	0
Th	1	489.418521057	ritz_air	29		3.0096806340	5.5429766400	11	13		L12239	0
Th	1	489.481172684	ritz_air	590		1.3882549450	3.9212267000	11	11		L5951	0
Th	1	489.507186587	ritz_air	73		2.0267262500	4.5595634000	9	7		L5951	0
Th	1	489.527952098	ritz_air	19		2.0809318270	4.6136615300	9	11		L12239	0
Th	1	489.588810249	ritz_air	40		2.2267431830	4.7591580600	9	11		L5951	0
Th	1	489.632180759	ritz_air	13000		0.0000000000	2.5321905600	5	3		L18702	0
Th	1	489.654187599	ritz_air	27		1.5929451530	4.1250219000	7	9		L3552	0
Th	1	489.702942538	ritz_air	50*		2.8107080390	5.3425327000	7	9		L5951	0
Th	1	489.895489639	ritz_air	52*		1.9800395300	4.5108690800	7	9		L5951	0
Th	1	489.895583664	ritz_air	52*		1.7397568530	4.2705859200	5	5		L5951	0
Th	1	489.972596103	ritz_air	150		1.7311318370	4.2615631200	3	5		L5951	0
Th	1	489.978692721	ritz_air	73		2.4286473910	4.9590471900	11	13		L5951	0
Th	1	490.006422080	ritz_air	65		2.1587167030	4.6889733000	7	9		L5951	0
Th	1	490.060804514	ritz_air	680		1.7611043810	4.2910802000	11	13		L18702	0
Th	1	490.070489084	ritz_air	340		2.1283257340	4.6582515600	11	11		L5951	0
Th	1	490.223440678	ritz_air	70		2.8896783650	5.4188148400	13	13		L5951	0
Th	1	490.274334186	ritz_air	25		2.5063318890	5.0352058000	7	5		L12239	0
Th	1	490.284537894	ritz_air	17		2.7140305370	5.2428518400	7	7		L12239	0
Th	1	490.335439403	ritz_air	340		0.9026202420	3.4311790300	5	5		L5951	0
Th	1	490.342316229	ritz_air	1400		0.6151672932	3.1436906190	9	9		L18702	0
Th	1	490.354686512	ritz_air	18		2.1517009540	4.6801604900	3	5		L3552	0
Th	1	490.370692760	ritz_air	43		2.6241377150	5.1525147200	7	7		L5951	0
Th	1	490.396831698	ritz_air	210		2.1698692680	4.6981115100	11	9		L5951	0
Th	1	490.416319870	ritz_air	590		0.9026202420	3.4307620160	5	7		L5951	0
Th	1	490.431975025	ritz_air	17		2.2383633370	4.7664244100	9	7		L12239	0
Th	1	490.442737882	ritz_air	150		1.6335058670	4.1615114600	9	7		L5951	0
Th	1	490.460257532	ritz_air	28		2.8535150990	5.3814303700	11	9		L5951	0
Th	1	490.547919799	ritz_air	14		2.7916138300	5.3190773800	5	7		L12239	0
Th	1	490.576465375	ritz_air	9		2.7155353660	5.2428518400	9	7		L3552	0
Th	1	490.662781285	ritz_air	12		2.9328634240	5.4597352900	9	9		L12239	0
Th	1	490.699302979	ritz_air	18		2.5196398240	5.0463236300	11	9		L3552	0
Th	1	490.751884935	ritz_air	8		2.6349869300	5.1614000200	5	5		L12239	0
