element	ion_stage	wavelength_vacuum_nm	gA_s-1	Ei_eV	Ek_eV	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	kurucz_ref	nist_match	nist_gA
Th	2	307.673333977	62836898.5844	1.2051633260	5.2348982600	5f.6d.(3F*).7s	4F*	3.5	5f2.6d+5f.6d.7p		3.5	8	8	MC	1	0
Th	2	307.823286558	163980248.75	1.1409354570	5.1687073500	5f.6d.(1G*).7s	2G*	3.5	5f2.6d+5f.6d.7p		3.5	8	8	MC	1	0
Th	2	307.882582421	156179554.912	1.2051633260	5.2321595100	5f.6d.(3F*).7s	4F*	3.5	5f.6d.(3F*).7p		4.5	8	10	MC	1	0
Th	2	307.972223890	306458285.399	0.5099915580	4.5358156000	6d.(2D).7s2		2.5	6d2.(1D).7p	*	3.5	6	8	MC	1	0
Th	2	308.078190453	47214202.3671	0.8296262910	4.8540656000	5f.6d.(3F*).7s	4F*	1.5	5f.6d.(3F*).7p		1.5	4	4	MC	1	0
Th	2	308.111160719	1216128862.13	1.2632832800	5.2872919600	5f.6d.(3H*).7s	4H*	5.5	5f.6d.(3H*).7p		6.5	12	14	MC	1	0
Th	2	308.255458895	298932256.206	1.6426306130	5.6647556000	6d3	4F	4.5	6d2.(3F).7p	*	3.5	10	8	MC	1	0
Th	2	308.287606956	91723856.9734	0.5141100360	4.5358156000	6d2.(3F).7s	4F	3.5	6d2.(1D).7p	*	3.5	8	8	MC	1	0
Th	2	308.304828273	890089822.767	1.6699392420	5.6914201500	5f.6d.(3G*).7s	4G*	4.5	5f2.6d+5f.6d.7p		4.5	10	10	MC	1	0
Th	2	308.388848340	670188768.271	1.5463529100	5.5667381800	5f.6d.(3F*).7s	2F*	2.5	5f2.6d+5f.6d.7p		3.5	6	8	MC	1	0
Th	2	308.419270969	402820442.119	1.3233004990	5.3432892000	5f.6d.(3F*).7s	*	2.5	5f2.6d+5f.6d.7p		2.5	6	6	MC	1	0
Th	2	308.936629723	265861498.449	0.9089883420	4.9222449900	5f.6d.(3F*).7s	4F*	2.5	5f.6d.(3H*).7p		2.5	6	6	MC	1	0
Th	2	309.099073474	30563201.2368	0.2306029750	4.2417505000	6d2.(3F).7s	4F	1.5	6d.7s.(3D).7p	*	2.5	4	6	MC	1	0
Th	2	309.395008726	18045452.6268	0.1886910950	4.1960019600	6d2.(3F).7s	4F	2.5	5f.(2F*).6d2.(1D)	*	1.5	6	4	MC	1	0
Th	2	309.715928265	631636324.193	1.9878570590	5.9910156600	5f.6d.(3D*).7s	*	2.5	5f2.6d+5f.6d.7p		2.5	6	6	MC	1	0
Th	2	309.732976544	183831279.08	1.1409354570	5.1438737200	5f.6d.(1G*).7s	2G*	3.5	5f2.6d+5f.6d.7p		3.5	8	8	MC	1	0
Th	2	309.816613538	60979650.6276	0.5099915580	4.5118492000	6d.(2D).7s2		2.5	6d2.(3F).7p	*	1.5	6	4	MC	1	0
Th	2	310.063936625	470426401.334	1.5585426260	5.5572081700	6d3		3.5	6d.7s.(3D).7p	*	2.5	8	6	MC	1	0
Th	2	310.076373747	182581571.806	1.1453685480	5.1438737200	5f.6d.(1G*).7s	*	4.5	5f2.6d+5f.6d.7p		3.5	10	8	MC	1	0
Th	2	310.169690176	1138139646.73	1.6426306130	5.6399328000	6d3	4F	4.5	6d2.(3F).7p	2G*	4.5	10	10	MC	1	0
Th	2	310.183804720	914441771.628	1.5483504220	5.5454707300	5f.6d.(3F*).7s	4F*	4.5	5f.6d.(3F*).7p		5.5	10	12	MC	1	0
Th	2	310.258943586	176988660.652	1.4352908430	5.4314431200	5f.6d.(1D*).7s	2D*	1.5	5f.6d.(3F*).7p		1.5	4	4	MC	1	0
Th	2	310.356410061	153699597.163	0.7647786520	4.7596759500	5f.6d.(3H*).7s	4H*	3.5	5f.7s.(3F*).7p		3.5	8	8	MC	1	0
Th	2	310.595219034	154883354.784	1.1409354570	5.1327611800	5f.6d.(1G*).7s	2G*	3.5	5f2.(1G).6d		4.5	8	10	MC	1	0
Th	2	310.664839520	580510492.339	1.2051633260	5.1960944600	5f.6d.(3F*).7s	4F*	3.5	5f.6d.(3F*).7p		4.5	8	10	MC	1	0
Th	2	310.758898145	131688224.624	1.3107660780	5.3004892700	5f.6d.(3H*).7s	*	4.5	5f2.6d+5f.6d.7p		3.5	10	8	MC	1	0
Th	2	310.792738645	175975597.108	0.8296262910	4.8189150700	5f.6d.(3F*).7s	4F*	1.5	5f.6d.(3F*).7p		0.5	4	2	MC	1	0
Th	2	310.919837573	448845839.565	0.8307172240	4.8183752400	5f.6d.(3H*).7s	*	4.5	5f2.(1I).7s		5.5	10	12	MC	1	0
Th	2	311.092281897	218079869.897	0.8296262910	4.8150738700	5f.6d.(3F*).7s	4F*	1.5	5f.6d.(3D*).7p		1.5	4	4	MC	1	0
Th	2	311.299154877	37500599.0576	0.7647786520	4.7475777200	5f.6d.(3H*).7s	4H*	3.5	5f.7s.(3F*).7p		3.5	8	8	MC	1	0
Th	2	311.497057610	97608203.1281	1.1884386710	5.1687073500	5f.6d.(3G*).7s	4G*	2.5	5f2.6d+5f.6d.7p		3.5	6	8	MC	1	0
Th	2	311.517055636	74033884.1194	1.0669884350	5.0470015900	6d2.(3F).7s	2F	2.5	6d2.(1G).7p	*	3.5	6	8	MC	1	0
Th	2	311.720736830	1126840864.78	1.5585426260	5.5359552100	6d3		3.5	6d2.(3P).7p	*	3.5	8	8	MC	1	0
Th	2	311.738279239	264127616.874	1.3233004990	5.3004892700	5f.6d.(3F*).7s	*	2.5	5f2.6d+5f.6d.7p		3.5	6	8	MC	1	0
Th	2	311.858794534	119805852.599	0.8296262910	4.8052781100	5f.6d.(3F*).7s	4F*	1.5	5f2.(1D).7s		1.5	4	4	MC	1	0
Th	2	312.025882540	146222059.166	1.0669884350	5.0405113100	6d2.(3F).7s	2F	2.5	5f.(2F*).6d2.(3P)	*	2.5	6	6	MC	1	0
Th	2	312.043059859	211819043.799	0.5141100360	4.4874141800	6d2.(3F).7s	4F	3.5	5f.(2F*).6d2.(3P)	*	4.5	8	10	MC	1	0
Th	2	312.386861307	371542539.157	0.7647786520	4.7337099300	5f.6d.(3H*).7s	4H*	3.5	5f.6d.(3H*).7p		4.5	8	10	MC	1	0
Th	2	312.529295128	268294999.456	0.7647786520	4.7319011000	5f.6d.(3H*).7s	4H*	3.5	5f.7s.(1F*).7p		3.5	8	8	MC	1	0
Th	2	312.611505805	297429533.441	1.0388461350	5.0049253100	5f.7s2	2F*	3.5	5f.6d.(3G*).7p		4.5	8	10	MC	1	0
Th	2	312.641292297	826611172.074	1.1453685480	5.1110698600	5f.6d.(1G*).7s	*	4.5	5f.6d.(3H*).7p		5.5	10	12	MC	1	0
Th	2	312.665128293	30007867.4099	0.2306029750	4.1960019600	6d2.(3F).7s	4F	1.5	5f.(2F*).6d2.(1D)	*	1.5	4	4	MC	1	0
Th	2	312.811458101	166658967.006	1.2051633260	5.1687073500	5f.6d.(3F*).7s	4F*	3.5	5f2.6d+5f.6d.7p		3.5	8	8	MC	1	0
Th	2	313.088084695	117235937.999	1.2868472560	5.2468893100	6d2.(1G).7s		4.5	6d2.(3F).7p	*	4.5	10	10	MC	1	0
Th	2	313.197707278	18782641.4599	0.0000000000	3.9586560000	6d.7s2	2D	1.5	5f.(2F*).6d2.(3F)	*	1.5	4	4	MC	1	0
Th	2	313.452747458	158142850.174	1.1884386710	5.1438737200	5f.6d.(3G*).7s	4G*	2.5	5f2.6d+5f.6d.7p		3.5	6	8	MC	1	0
Th	2	313.533393754	1108730973.75	1.7958273400	5.7502449800	5f.6d.(3H*).7s	2H*	5.5	5f.6d.(3H*).7p		6.5	12	14	MC	1	0
Th	2	314.021604650	690994587.584	1.1409354570	5.0892051400	5f.6d.(1G*).7s	2G*	3.5	5f.6d.(1G*).7p		4.5	8	10	MC	1	0
Th	2	314.077640758	282045852.437	1.3782808200	5.3258460700	5f.6d.(3G*).7s	4G*	3.5	5f.6d.(3H*).7p		4.5	8	10	MC	1	0
Th	2	314.275716633	202195813.009	0.9089883420	4.8540656000	5f.6d.(3F*).7s	4F*	2.5	5f.6d.(3F*).7p		1.5	6	4	MC	1	0
Th	2	314.374582530	691032994.772	1.1453685480	5.0892051400	5f.6d.(1G*).7s	*	4.5	5f.6d.(1G*).7p		4.5	10	10	MC	1	0
Th	2	314.695451343	213114458.054	0.7647786520	4.7045940400	5f.6d.(3H*).7s	4H*	3.5	5f.7s.(3F*).7p		2.5	8	6	MC	1	0
Th	2	315.136742516	1065112940.48	1.7958273400	5.7301257400	5f.6d.(3H*).7s	2H*	5.5	5f.6d.(3F*).7p		5.5	12	12	MC	1	0
Th	2	315.255913543	210410343.647	1.2632832800	5.1960944600	5f.6d.(3H*).7s	4H*	5.5	5f.6d.(3F*).7p		4.5	12	10	MC	1	0
Th	2	315.521404449	56277650.134	0.1886910950	4.1181930800	6d2.(3F).7s	4F	2.5	5f.(2F*).6d2.(1G)	*	1.5	6	4	MC	1	0
Th	2	315.568874413	1604002962.15	1.6621858400	5.5910967100	5f.6d.(3H*).7s	4H*	6.5	5f.6d.(3H*).7p	4I	7.5	14	16	MC	1	0
Th	2	315.674371003	182353885.64	1.2051633260	5.1327611800	5f.6d.(3F*).7s	4F*	3.5	5f2.(1G).6d		4.5	8	10	MC	1	0
Th	2	315.731433386	66951124.8316	0.7647786520	4.6916666700	5f.6d.(3H*).7s	4H*	3.5	5f2.(3F).6d		4.5	8	10	MC	1	0
Th	2	315.953165281	115119338.552	1.3107660780	5.2348982600	5f.6d.(3H*).7s	*	4.5	5f2.6d+5f.6d.7p		3.5	10	8	MC	1	0
Th	2	315.998601736	75166300.1797	1.1234336590	5.0470015900	6d2.(3P).7s	4P	2.5	6d2.(1G).7p	*	3.5	6	8	MC	1	0
Th	2	316.260301719	46270500.8726	0.7647786520	4.6850999000	5f.6d.(3H*).7s	4H*	3.5	5f.6d.(3G*).7p		3.5	8	8	MC	1	0
Th	2	316.539734185	83856544.6497	0.8307172240	4.7475777200	5f.6d.(3H*).7s	*	4.5	5f.7s.(3F*).7p		3.5	10	8	MC	1	0
Th	2	316.653957994	45522262.3333	0.8680655920	4.7835132000	6d3		1.5	6d2.(3F).7p	*	2.5	4	6	MC	1	0
Th	2	316.673495922	142945359.11	1.0669884350	4.9821944700	6d2.(3F).7s	2F	2.5	6d2.(3F).7p	*	3.5	6	8	MC	1	0
Th	2	316.701448972	56897543.3866	0.5567214940	4.4715819600	5f.7s2	2F*	2.5	5f2.(3F).6d		2.5	6	6	MC	1	0
Th	2	316.847728870	737381518.164	1.9031425700	5.8161956500	5f.6d.(3G*).7s	4G*	5.5	5f.6d.(3H*).7p		6.5	12	14	MC	1	0
Th	2	317.024542475	72145267.41	0.7703746220	4.6812452800	6d2.(3F).7s	4F	4.5	5f.(2F*).6d2.(1S)	*	3.5	10	8	MC	1	0
Th	2	317.134514220	49306756.2828	0.9089883420	4.8185028400	5f.6d.(3F*).7s	4F*	2.5	5f.6d.(3H*).7p		2.5	6	6	MC	1	0
Th	2	317.264598042	123466844.887	1.4537679150	5.3616794500	5f.6d.(3D*).7s	4D*	0.5	5f2.(3F).6d		1.5	2	4	MC	1	0
Th	2	317.512250536	20886831.0262	0.2306029750	4.1354664300	6d2.(3F).7s	4F	1.5	5f.(2F*).6d2.(1S)	*	2.5	4	6	MC	1	0
Th	2	317.664437944	310782226.099	0.8307172240	4.7337099300	5f.6d.(3H*).7s	*	4.5	5f.6d.(3H*).7p		4.5	10	10	MC	1	0
Th	2	317.742447634	35747268.5137	0.7741939000	4.6762283600	6d2.(3P).7s	4P	0.5	6d2.(1D).7p	*	0.5	2	2	MC	1	0
Th	2	317.811726120	40555864.3258	0.8307172240	4.7319011000	5f.6d.(3H*).7s	*	4.5	5f.7s.(1F*).7p		3.5	10	8	MC	1	0
Th	2	317.996761829	96504608.1994	0.5141100360	4.4130238900	6d2.(3F).7s	4F	3.5	6d2.(3F).7p	*	4.5	8	10	MC	1	0
Th	2	318.111339755	187169463.183	0.1886910950	4.0862006400	6d2.(3F).7s	4F	2.5	6d2.(3F).7p	4G*	3.5	6	8	MC	1	0
Th	2	318.210927898	96153097.2994	0.9089883420	4.8052781100	5f.6d.(3F*).7s	4F*	2.5	5f2.(1D).7s		1.5	6	4	MC	1	0
Th	2	318.332587616	61749159.8936	0.8296262910	4.7244269800	5f.6d.(3F*).7s	4F*	1.5	5f2.(3P).7s		2.5	4	6	MC	1	0
Th	2	318.356288601	155799709.346	1.1234336590	5.0179444000	6d2.(3P).7s	4P	2.5	6d2.(3F).7p	*	1.5	6	4	MC	1	0
Th	2	318.447728690	138776829.803	1.3782808200	5.2716732700	5f.6d.(3G*).7s	4G*	3.5	5f2.6d+5f.6d.7p		3.5	8	8	MC	1	0
Th	2	318.471530701	253660024.328	1.6428537520	5.5359552100	6d2.(1D).7s		2.5	6d2.(3P).7p	*	3.5	6	8	MC	1	0
Th	2	318.587008863	120209075.637	0.5567214940	4.4484118200	5f.7s2	2F*	2.5	5f.6d.(1G*).7p		3.5	6	8	MC	1	0
