test_id,height_um,line_id,center_nm,relative_strength,role,status,applied_center_nm,area,area_sigma,snr,area_fraction,height,center_height,peak_offset_nm,centroid_offset_nm,fwhm_nm,top_flatness,noise,line_relative
1342,35300.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3853135547665,520.8594665304764,4.807949896381821,108.33296472628479,0.010460977243801402,1097.154192210408,1083.0809592761316,0.014686445201505194,0.031104867397943957,0.3999999999996362,0.08661682960080162,18.621109878103404,0.5196445111181659
1342,35300.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7918535547665,334.89122743723334,1.205364366225791,277.8340200032933,0.006725978377057363,839.0762013245129,838.3706031884013,0.00814644519846297,0.03719161393329494,0.33333333333303017,0.1352403978142105,4.668356116508591,0.4770360525451831
1343,35400.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7714852014187,22.823445243856476,0.8068457451207043,28.287247447084304,0.0005355886936319372,40.744346528985716,39.50979839252648,0.061848131948636365,-0.0006823732448284154,0.4333333333329392,0.06592922492516747,3.124900133813644,0.7658148810128862
1343,35400.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3849992014186,741.4715607183591,1.9261779250149345,384.9444805118978,0.017399817614182318,1405.5187195395638,1393.8929471388892,0.0150007985494085,0.03248903443468372,0.46666666666624224,0.061807047488359,7.460055025421984,0.8643283994355925
1343,35400.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7915392014186,480.5289012161791,2.962169208939531,162.22196212356502,0.011276380218014645,1112.3008051280156,1109.3302498341343,0.008460798546366277,0.03650241502650162,0.3999999999996362,0.10172265449871488,11.472432014881635,0.7997706214086481
1344,35500.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7710016652793,22.290387347383643,0.40757000889844175,54.690941091639445,0.0005172353375024606,44.06264325607822,43.891275802145636,0.028998334754760435,0.06776904917078924,0.49999999999954525,0.051864037293277286,1.578511856878709,0.739572218672181
1344,35500.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3845156652793,723.9665976392286,7.011723981025036,103.25086948636456,0.016799219395996146,1299.9278939292071,1268.3116665748337,0.04881766802202492,0.02396785819836235,0.49999999999954525,0.07266540328216553,27.156290206737832,0.8344939432280974
1344,35500.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7910556652793,493.0460007822001,1.197205728883313,411.830639368963,0.011440842666592468,1066.8649366180189,1060.662263864678,0.008944334685679678,0.03602393315668081,0.3999999999996362,0.08531069927878443,4.6367578499533995,0.8114350236507207
1345,35600.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,low_snr,693.7709304922412,26.31553684310144,5.347735275706446,4.920875003414433,0.0005964796790991896,48.68035212535597,46.128455206050226,0.062402841126186104,-0.09213572419317069,0.3999999999996362,0.06457001072997516,20.71168966275583,0.8528802416987986
1345,35600.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3844444922412,678.2500888182509,2.533597035717143,267.70243225607106,0.015373518607634343,1297.77569531723,1282.664584029421,0.015555507726844553,0.023407345565054548,0.4333333333329392,0.07305648665671387,9.812579125341896,0.7636728744213525
1345,35600.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7909844922411,479.5911719494921,4.870802407867857,98.46245685819723,0.010870627114651813,1110.1114793508768,1104.4831381812808,0.00901550772380233,0.03178291530546756,0.3999999999996362,0.08769800787534862,18.864536608356353,0.7709928216767308
1346,35700.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7707119867355,14.756123947218423,1.3229417962675207,11.154023547257019,0.00026780560629592983,32.858651306291335,32.8049242341576,-0.004045320034720135,0.19403536437494148,0.33333333333303017,0.16503260555831728,5.123731544950493,0.38292353994507816
1346,35700.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3842259867356,620.7751852665649,4.502322801048656,137.87887112891536,0.0112663105472978,1192.5497647280063,1171.2011715247093,0.04910734656573368,0.030598747403099976,0.46666666666624224,0.08671571892094045,17.43742122772723,0.5596490939625206
1346,35700.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7907659867356,440.06096214348236,3.734630780577429,117.83252160617667,0.007986568369549427,979.7176466894934,977.6060991610636,0.009234013229388438,0.026506776542801435,0.3999999999996362,0.10194741515487543,14.464162817423144,0.5664426548541646
1347,35800.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7707119867355,10.730277882889316,0.9885045042370009,10.855062204467869,0.00019811142095167358,23.909849350527196,23.01712508056323,0.029288013298582882,0.1496390513664419,0.33333333333303017,0.11956226061283762,3.8284614825644048,0.28327086823767267
1347,35800.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3842259867356,459.88021221022916,2.6103468941554335,176.17589954802594,0.008490695516264987,954.8946135891647,923.9328974664695,0.04910734656573368,0.03176117111243316,0.3999999999996362,0.09018807076270224,10.109830048897443,0.4217716201626492
1347,35800.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7907659867356,311.60283196961547,4.265805411064332,73.04665870632611,0.0057530737309706695,758.9193627806726,757.8884121997913,0.009234013229388438,0.037293753807314534,0.3666666666663332,0.12550592703704438,16.52139331522867,0.4080333638872522
1348,35900.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7708516486259,26.595198793098934,4.517036469302416,5.887753834585741,0.0004627691270108165,38.9650813161893,36.29236559001248,0.09581501807474524,0.11229288592111755,0.5999999999994543,0.03710302417080751,17.494407019835716,0.6616933631197419
1348,35900.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3843656486259,687.9112682018358,5.454700768450224,126.11347485469554,0.011969983737413268,1364.4672139783902,1332.7344302618442,0.04896768467540369,0.040266869505866436,0.4333333333329392,0.08919119075350801,21.12596523477173,0.5946037547310623
1348,35900.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7909056486259,466.015837626563,1.2054108192739097,386.60333072775296,0.008108897550621769,1115.479051384547,1111.097556480699,0.009094351339058449,0.04124209929705488,0.3666666666663332,0.09718224515709885,4.668536028390337,0.5751187799289772
1349,36000.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7707728050107,11.784434405797503,1.2304787555938628,9.577113259554011,0.0002370855818098121,27.175653864874448,23.19658250199042,0.09589386169000136,0.14610748653058814,0.33333333333303017,0.12419968061463439,4.765623728281391,0.3389983186394984
1349,36000.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3842868050107,588.7903566037269,5.730888906532324,102.73979590366814,0.011845600684130111,1208.9727369399925,1169.814761064463,0.04904652829065981,0.03839566369091005,0.4333333333329392,0.09074244456629701,22.19563729398471,0.5884250804630335
1349,36000.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7908268050106,384.232069780465,0.7158881065219067,536.7208454505973,0.007730187183958025,946.4936600059482,943.7612471641376,0.009173194954314567,0.040177667636206,0.3666666666663332,0.11078959944565846,2.7726227143098274,0.5482589703602391
1350,36100.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7708516486259,18.939957300820026,2.190892998361473,8.644857286496812,0.0005315009984506507,33.484997921633294,24.868152605510947,0.12914835140804826,0.11610251657274105,0.4333333333329392,0.08713525715065693,8.485292095984136,0.759970064204589
1350,36100.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3843656486259,457.38880271869937,1.5008788563008888,304.7473157467176,0.012835435764927041,837.0504267302863,829.9755610548436,0.015634351342100672,0.03474828478717125,0.46666666666624224,0.05993678755337209,5.812878815133463,0.6375947091373635
