file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
"1108-Test #1108 10 49, Mar 25 2024.03.25.10.49.csv",UV,1,,1,5.965728091331556e-11,0.0008779257353572849,0.438093117581364,126.21441359009837,0.0146031039193788,1.12001631580692e-05,-5.474830287469942e-10,-6.205058120626948e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0009460901960611288,26.678007125854492
"1108-Test #1108 10 49, Mar 25 2024.03.25.10.49.csv",VIS,1,,1,5.944205884362106e-11,9.379963259938921e-05,1.7162243080845303,61.60189450419688,0.05720747693615101,7.95863268485602e-06,-4.4116783375611196e-10,-4.000212878329541e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136981967,0.11292126294438276,0.00034309406579361546,26.678030252456665
"1108-Test #1108 10 49, Mar 25 2024.03.25.10.49.csv",NIR,1,,1,6.307553728955811e-11,0.00016109758147175106,2.0239820698440796,303.1928757591587,0.06746606899480265,5.442529461979651e-05,-3.4427846442922977e-09,-2.717124129538499e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874370597,0.001325187701754658,26.678044319152832
"1098-Test #1098 10 48, Mar 25 2024.03.25.10.48.csv",UV,1,,1,6.053234605599688e-11,0.0006029286656080973,0.43809311758132025,126.21441359015704,0.01460310391937734,1.1200163158074404e-05,-5.474830287462468e-10,-6.205058121790931e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416125319,0.07869545169245384,0.0008817777670338819,28.863186359405518
"1098-Test #1098 10 48, Mar 25 2024.03.25.10.48.csv",VIS,1,,1,6.002603229927358e-11,0.0002705723361551046,1.7162243080843163,61.60189450445638,0.05720747693614387,7.958632684889548e-06,-4.4116783375162404e-10,-4.000212883747528e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294449645,0.00025996599160282304,28.863209009170532
"1098-Test #1098 10 48, Mar 25 2024.03.25.10.48.csv",NIR,1,,1,6.42902035380051e-11,1.8766964692775332e-05,2.0239820698444277,303.19287575895964,0.06746606899481426,5.442529461976078e-05,-3.44278464433177e-09,-2.717124128699447e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874381966,0.0010536223185182677,28.863222360610962
"1100-Test #1100 10 49, Mar 25 2024.03.25.10.49.csv",UV,1,,1,6.185326605661263e-11,0.0003925817667249971,0.4380931175813478,126.2144135900886,0.014603103919378259,1.120016315806833e-05,-5.474830287429276e-10,-6.205058121212313e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0006245900892064902,28.730135202407837
"1100-Test #1100 10 49, Mar 25 2024.03.25.10.49.csv",VIS,1,,1,6.086578496152317e-11,9.056912681255065e-05,1.7162243080842603,61.60189450411746,0.05720747693614201,7.95863268484576e-06,-4.4116783375298667e-10,-4.0002128786457595e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294438276,0.000265810088729521,28.730167388916016
"1100-Test #1100 10 49, Mar 25 2024.03.25.10.49.csv",NIR,1,,1,6.160117963098347e-11,5.6146131937681206e-05,2.0239820698445294,303.1928757591859,0.06746606899481765,5.4425294619801396e-05,-3.44278464432601e-09,-2.71712412940735e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874370597,0.001422793147085014,28.730183124542236
"1107-Test #1107 10 49, Mar 25 2024.03.25.10.49.csv",UV,1,,1,5.826292307980047e-11,0.0001216184781683999,0.43809311758135144,126.21441359008276,0.014603103919378382,1.1200163158067815e-05,-5.474830287462572e-10,-6.205058120604995e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0007278310373068882,27.368926286697388
"1107-Test #1107 10 49, Mar 25 2024.03.25.10.49.csv",VIS,1,,1,5.924776150801723e-11,2.343673897894699e-05,1.7162243080844288,61.601894504548675,0.057207476936147625,7.95863268490147e-06,-4.411678337408723e-10,-4.000212884185421e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294438276,0.0003261147528555854,27.36894655227661
"1107-Test #1107 10 49, Mar 25 2024.03.25.10.49.csv",NIR,1,,1,6.333975058847757e-11,7.575544990696532e-05,2.0239820698443287,303.1928757589868,0.06746606899481096,5.442529461976565e-05,-3.4427846443082908e-09,-2.7171241291206513e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874370597,0.0014354170064921428,27.3689603805542
"1088-Test #1088 10 46, Mar 25 2024.03.25.10.46.csv",UV,1,,1,6.105077386612929e-11,0.0005471440383938149,0.4380931175813741,126.2144135900971,0.014603103919379136,1.1200163158069086e-05,-5.47483028747188e-10,-6.205058120845791e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0010038461571955184,31.759760856628418
"1088-Test #1088 10 46, Mar 25 2024.03.25.10.46.csv",VIS,1,,1,6.04725291947253e-11,0.0002676668426429487,1.7162243080843773,61.60189450447385,0.05720747693614591,7.958632684891804e-06,-4.411678337549656e-10,-4.000212883692528e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294449645,0.0002181056470590803,31.759783506393433
"1088-Test #1088 10 46, Mar 25 2024.03.25.10.46.csv",NIR,1,,1,6.312821704299291e-11,9.776001033702941e-05,2.0239820698443824,303.1928757589503,0.06746606899481275,5.4425294619759106e-05,-3.442784644230194e-09,-2.717124129766119e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874381966,0.0012197463950684667,31.759796619415283
"1064-Test #1064 10 44, Mar 25 2024.03.25.10.44.csv",UV,1,,1,6.181296999442152e-11,0.0008597738358932459,0.43809311758143554,126.21441359006758,0.014603103919381185,1.1200163158066467e-05,-5.474830287515518e-10,-6.205058121185732e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416125319,0.07869545169245384,0.0011771317879338413,36.18114376068115
